                  Name,  ZoneName,Clock.Today,Wheat.Zadok.Stage,Wheat.Phenology.CurrentStageName,Wheat.AboveGround.Wt,Wheat.AboveGround.N,Wheat.Grain.Yield,Wheat.Grain.Protein,Wheat.Grain.Size,Wheat.Grain.GrainNo,Wheat.Grain.Wt,Wheat.Grain.N,Wheat.Total.Wt,Wheat.EP,wheat.SWStress.Photo,SWTotal,NO3Total,Irrigation.IrrigationApplied,Fertiliser.NitrogenApplied,Manager_P.Script.This_field_no,Manager_P.Script.Patch_area,Soil.SoilWater.Drainage
MultiPaddockSimulation,Patch_0643, 1998-07-01,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,697.990,  20.536,                      20.200,                     0.000,                         2.000,                     20.000,                  0.004
MultiPaddockSimulation,Patch_0643, 1998-07-02,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,707.500,  20.610,                       9.700,                     0.000,                         2.000,                     20.000,                  0.024
MultiPaddockSimulation,Patch_0643, 1998-07-03,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,706.310,  20.677,                       0.000,                     0.000,                         2.000,                     20.000,                  0.071
MultiPaddockSimulation,Patch_0643, 1998-07-04,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,705.262,  20.727,                       0.300,                     0.000,                         2.000,                     20.000,                  0.155
MultiPaddockSimulation,Patch_0643, 1998-07-05,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,704.361,  20.767,                       0.000,                     0.000,                         2.000,                     20.000,                  0.281
MultiPaddockSimulation,Patch_0643, 1998-07-06,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,703.063,  20.803,                       0.200,                     0.000,                         2.000,                     20.000,                  0.443
MultiPaddockSimulation,Patch_0643, 1998-07-07,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,709.511,  20.806,                       7.600,                     0.000,                         2.000,                     20.000,                  0.632
MultiPaddockSimulation,Patch_0643, 1998-07-08,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,710.489,  20.778,                       2.200,                     0.000,                         2.000,                     20.000,                  0.837
MultiPaddockSimulation,Patch_0643, 1998-07-09,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,714.253,  20.760,                       5.200,                     0.000,                         2.000,                     20.000,                  1.047
MultiPaddockSimulation,Patch_0643, 1998-07-10,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,712.607,  20.720,                       0.300,                     0.000,                         2.000,                     20.000,                  1.254
